id,date_created,current_status,status_history,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35
2413,03/19/2021,Analyzed by lab,"['Created 03/19/2021 Cleveland Clinic - Fairview Hospital', 'Received 03/23/2021 Beachwood Police Department', 'Received 03/24/2021 BCI Richfield', 'Received 05/19/2021 Beachwood Police Department']",Created 03/19/2021 Cleveland Clinic - Fairview Hospital,Received 03/23/2021 Beachwood Police Department,Received 03/24/2021 BCI Richfield,Received 05/19/2021 Beachwood Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,03/01/2021,Analyzed by lab,"['Created 03/01/2021 Cleveland Clinic - Fairview Hospital', 'Received 03/01/2021 Cleveland Police Department', 'Received 03/10/2021 Cuyahoga County Medical Examiner', 'Received 06/03/2021 Cleveland Police Department']",Created 03/01/2021 Cleveland Clinic - Fairview Hospital,Received 03/01/2021 Cleveland Police Department,Received 03/10/2021 Cuyahoga County Medical Examiner,Received 06/03/2021 Cleveland Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,02/18/2021,Analyzed by lab,"['Created 02/18/2021 Cleveland Clinic - Fairview Hospital', 'Received 02/19/2021 Berea Police Department', 'Received 02/19/2021 BCI Richfield', 'Received 06/07/2021 Berea Police Department']",Created 02/18/2021 Cleveland Clinic - Fairview Hospital,Received 02/19/2021 Berea Police Department,Received 02/19/2021 BCI Richfield,Received 06/07/2021 Berea Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,03/17/2021,Analyzed by lab,"['Created 03/17/2021 Cleveland Clinic - Fairview Hospital', 'Received 03/19/2021 Berea Police Department', 'Received 03/19/2021 Cuyahoga County Medical Examiner', 'Received 03/19/2021 Cuyahoga County Medical Examiner', 'Received 06/07/2021 Berea Police Department']",Created 03/17/2021 Cleveland Clinic - Fairview Hospital,Received 03/19/2021 Berea Police Department,Received 03/19/2021 Cuyahoga County Medical Examiner,Received 03/19/2021 Cuyahoga County Medical Examiner,Received 06/07/2021 Berea Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,12/31/2021,Analyzed by lab,"['Created 12/31/2021 Cleveland Clinic - Hillcrest Hospital', ""Received 01/04/2022 Lake County Sheriff's Office"", 'Received 01/04/2022 Lake County Crime Laboratory', ""Received 03/08/2022 Lake County Sheriff's Office""]",Created 12/31/2021 Cleveland Clinic - Hillcrest Hospital,Received 01/04/2022 Lake County Sheriff's Office,Received 01/04/2022 Lake County Crime Laboratory,Received 03/08/2022 Lake County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,12/01/2020,Evidence collected (not received by law enforcement),['Created 12/01/2020 Cleveland Clinic - Hillcrest Hospital'],Created 12/01/2020 Cleveland Clinic - Hillcrest Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,04/02/2021,Analyzed by lab,"['Created 04/02/2021 Cleveland Clinic - Lutheran Hospital', 'Received 04/02/2021 Cleveland Police Department', 'Received 04/07/2021 Cuyahoga County Medical Examiner', 'Received 06/03/2021 Cleveland Police Department']",Created 04/02/2021 Cleveland Clinic - Lutheran Hospital,Received 04/02/2021 Cleveland Police Department,Received 04/07/2021 Cuyahoga County Medical Examiner,Received 06/03/2021 Cleveland Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,03/16/2021,Evidence collected (not received by law enforcement),['Created 03/16/2021 Cleveland Clinic - Fairview Hospital'],Created 03/16/2021 Cleveland Clinic - Fairview Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,10/03/2021,Evidence collected (not received by law enforcement),"['Created 10/03/2021 West Chester Medical Center', 'Out Of State Agency']",Created 10/03/2021 West Chester Medical Center,Out Of State Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,03/06/2021,Analyzed by lab,"[""Created 03/06/2021 Cincinnati Children's Hospital Medical Center"", 'Received 03/07/2021 Miami Twp. Police Department - Clermont', 'Received 03/09/2021 BCI London', 'Received 06/08/2021 Miami Twp. Police Department - Clermont']",Created 03/06/2021 Cincinnati Children's Hospital Medical Center,Received 03/07/2021 Miami Twp. Police Department - Clermont,Received 03/09/2021 BCI London,Received 06/08/2021 Miami Twp. Police Department - Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,02/21/2021,Analyzed by lab,"[""Created 02/21/2021 Cincinnati Children's Hospital Medical Center"", 'Received 10/11/2021 Middletown Police Department', 'Received 11/17/2021 BCI London', 'Received 11/29/2021 Middletown Police Department']",Created 02/21/2021 Cincinnati Children's Hospital Medical Center,Received 10/11/2021 Middletown Police Department,Received 11/17/2021 BCI London,Received 11/29/2021 Middletown Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,02/19/2021,Analyzed by lab,"[""Created 02/19/2021 Cincinnati Children's Hospital Medical Center"", ""Received 02/23/2021 Butler County Sheriff's Office"", 'Received 06/28/2021 BCI London', ""Received 10/28/2021 Butler County Sheriff's Office""]",Created 02/19/2021 Cincinnati Children's Hospital Medical Center,Received 02/23/2021 Butler County Sheriff's Office,Received 06/28/2021 BCI London,Received 10/28/2021 Butler County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,03/06/2021,Analyzed by lab,"[""Created 03/06/2021 Cincinnati Children's Hospital Medical Center"", 'Received 04/23/2021 Hillsboro Police Department', 'Received 04/27/2021 BCI London', 'Received 09/30/2021 Hillsboro Police Department']",Created 03/06/2021 Cincinnati Children's Hospital Medical Center,Received 04/23/2021 Hillsboro Police Department,Received 04/27/2021 BCI London,Received 09/30/2021 Hillsboro Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,03/07/2021,Analyzed by lab,"[""Created 03/07/2021 Cincinnati Children's Hospital Medical Center"", 'Received 03/31/2021 Cincinnati Police Department', 'Received 04/06/2021 BCI London', 'Received 06/15/2021 Cincinnati Police Department']",Created 03/07/2021 Cincinnati Children's Hospital Medical Center,Received 03/31/2021 Cincinnati Police Department,Received 04/06/2021 BCI London,Received 06/15/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,02/26/2021,Analyzed by lab,"[""Created 02/26/2021 Cincinnati Children's Hospital Medical Center"", 'Received 03/05/2021 Cincinnati Police Department', 'Received 03/09/2021 BCI London', 'Received 05/18/2021 Cincinnati Police Department']",Created 02/26/2021 Cincinnati Children's Hospital Medical Center,Received 03/05/2021 Cincinnati Police Department,Received 03/09/2021 BCI London,Received 05/18/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,02/28/2021,Analyzed by lab,"[""Created 02/28/2021 Cincinnati Children's Hospital Medical Center"", 'Received 03/31/2021 Cincinnati Police Department', 'Received 04/06/2021 BCI London', 'Received 06/15/2021 Cincinnati Police Department']",Created 02/28/2021 Cincinnati Children's Hospital Medical Center,Received 03/31/2021 Cincinnati Police Department,Received 04/06/2021 BCI London,Received 06/15/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,08/13/2021,Analyzed by lab,"[""Created 08/13/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 08/13/2021 Cleveland Police Department', 'Received 08/18/2021 Cuyahoga County Medical Examiner', 'Received 01/12/2022 Cleveland Police Department']",Created 08/13/2021 UH Rainbow Babies and Children's Hospitals,Received 08/13/2021 Cleveland Police Department,Received 08/18/2021 Cuyahoga County Medical Examiner,Received 01/12/2022 Cleveland Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,06/09/2021,Analyzed by lab,"[""Created 06/09/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 06/09/2021 Cleveland Police Department', 'Received 06/16/2021 Cuyahoga County Medical Examiner', 'Received 10/20/2021 Cleveland Police Department']",Created 06/09/2021 UH Rainbow Babies and Children's Hospitals,Received 06/09/2021 Cleveland Police Department,Received 06/16/2021 Cuyahoga County Medical Examiner,Received 10/20/2021 Cleveland Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,06/10/2021,Analyzed by lab,"[""Created 06/10/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 06/15/2021 Parma Heights Police Department', 'Received 06/16/2021 Cuyahoga County Medical Examiner']",Created 06/10/2021 UH Rainbow Babies and Children's Hospitals,Received 06/15/2021 Parma Heights Police Department,Received 06/16/2021 Cuyahoga County Medical Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,06/07/2021,Analyzed by lab,"[""Created 06/07/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 06/09/2021 Euclid Police Department', 'Received 07/01/2021 BCI Richfield', 'Received 08/19/2021 Euclid Police Department']",Created 06/07/2021 UH Rainbow Babies and Children's Hospitals,Received 06/09/2021 Euclid Police Department,Received 07/01/2021 BCI Richfield,Received 08/19/2021 Euclid Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,06/07/2021,Analyzed by lab,"[""Created 06/07/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 06/09/2021 Elyria Police Department', 'Received 06/25/2021 BCI Richfield', 'Received 08/21/2021 Elyria Police Department']",Created 06/07/2021 UH Rainbow Babies and Children's Hospitals,Received 06/09/2021 Elyria Police Department,Received 06/25/2021 BCI Richfield,Received 08/21/2021 Elyria Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,07/21/2021,Analyzed by lab,"[""Created 07/21/2021 UH Rainbow Babies and Children's Hospitals"", ""Received 07/21/2021 Wood County Sheriff's Office"", 'Received 07/22/2021 BCI Bowling Green', ""Received 10/04/2021 Wood County Sheriff's Office""]",Created 07/21/2021 UH Rainbow Babies and Children's Hospitals,Received 07/21/2021 Wood County Sheriff's Office,Received 07/22/2021 BCI Bowling Green,Received 10/04/2021 Wood County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,06/25/2021,Analyzed by lab,"[""Created 06/25/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 06/25/2021 Conneaut Police Department', 'Received 06/28/2021 BCI Richfield', 'Received 08/31/2022 Conneaut Police Department']",Created 06/25/2021 UH Rainbow Babies and Children's Hospitals,Received 06/25/2021 Conneaut Police Department,Received 06/28/2021 BCI Richfield,Received 08/31/2022 Conneaut Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,07/11/2021,Analyzed by lab,"[""Created 07/11/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 07/11/2021 Cleveland Police Department', 'Received 08/25/2021 Cuyahoga County Medical Examiner', 'Received 01/12/2022 Cleveland Police Department']",Created 07/11/2021 UH Rainbow Babies and Children's Hospitals,Received 07/11/2021 Cleveland Police Department,Received 08/25/2021 Cuyahoga County Medical Examiner,Received 01/12/2022 Cleveland Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,11/28/2021,Analyzed by lab,"[""Created 11/28/2021 UH Rainbow Babies and Children's Hospitals"", 'Received 12/23/2021 Solon Police Department', 'Received 01/11/2022 BCI Richfield', 'Received 03/09/2022 Solon Police Department']",Created 11/28/2021 UH Rainbow Babies and Children's Hospitals,Received 12/23/2021 Solon Police Department,Received 01/11/2022 BCI Richfield,Received 03/09/2022 Solon Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,12/18/2020,Analyzed by lab,"[""Created 12/18/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/18/2020 Toledo Police Department', 'Received 01/29/2021 BCI Bowling Green', 'Received 03/25/2021 Toledo Police Department']",Created 12/18/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/18/2020 Toledo Police Department,Received 01/29/2021 BCI Bowling Green,Received 03/25/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,04/15/2021,Ready to send to lab,"[""Created 04/15/2021 ProMedica Toledo & Toledo Children's Hospital"", 'Received 04/16/2021 Toledo Police Department']",Created 04/15/2021 ProMedica Toledo & Toledo Children's Hospital,Received 04/16/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,12/22/2020,Analyzed by lab,"[""Created 12/22/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/24/2020 Toledo Police Department', 'Received 01/07/2021 BCI Bowling Green', 'Received 01/07/2021 BCI Bowling Green', 'Received 02/17/2021 Toledo Police Department']",Created 12/22/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/24/2020 Toledo Police Department,Received 01/07/2021 BCI Bowling Green,Received 01/07/2021 BCI Bowling Green,Received 02/17/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,12/22/2020,Analyzed by lab,"[""Created 12/22/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/22/2020 Toledo Police Department', 'Received 01/29/2021 BCI Bowling Green', 'Received 03/25/2021 Toledo Police Department']",Created 12/22/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/22/2020 Toledo Police Department,Received 01/29/2021 BCI Bowling Green,Received 03/25/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,12/06/2020,Analyzed by lab,"[""Created 12/06/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/08/2020 Toledo Police Department', 'Received 12/17/2020 BCI Bowling Green', 'Received 02/09/2021 Toledo Police Department']",Created 12/06/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/08/2020 Toledo Police Department,Received 12/17/2020 BCI Bowling Green,Received 02/09/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,12/02/2020,Analyzed by lab,"[""Created 12/02/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/03/2020 Toledo Police Department', 'Received 01/05/2021 BCI Bowling Green', 'Received 02/12/2021 Toledo Police Department']",Created 12/02/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/03/2020 Toledo Police Department,Received 01/05/2021 BCI Bowling Green,Received 02/12/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,12/09/2020,Analyzed by lab,"[""Created 12/09/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/10/2020 Toledo Police Department', 'Received 01/07/2021 BCI Bowling Green', 'Received 03/03/2021 Toledo Police Department']",Created 12/09/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/10/2020 Toledo Police Department,Received 01/07/2021 BCI Bowling Green,Received 03/03/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,12/15/2020,Analyzed by lab,"[""Created 12/15/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/15/2020 Maumee Police Department', 'Received 12/17/2020 BCI Bowling Green', 'Received 03/09/2021 Maumee Police Department', 'Received 03/11/2021 Maumee Police Department']",Created 12/15/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/15/2020 Maumee Police Department,Received 12/17/2020 BCI Bowling Green,Received 03/09/2021 Maumee Police Department,Received 03/11/2021 Maumee Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,12/22/2020,Analyzed by lab,"[""Created 12/22/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/24/2020 Toledo Police Department', 'Received 01/07/2021 BCI Bowling Green', 'Received 03/25/2021 Toledo Police Department']",Created 12/22/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/24/2020 Toledo Police Department,Received 01/07/2021 BCI Bowling Green,Received 03/25/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,12/08/2020,Analyzed by lab,"[""Created 12/08/2020 ProMedica Toledo & Toledo Children's Hospital"", 'Received 12/08/2020 Toledo Police Department', 'Received 01/29/2021 BCI Bowling Green', 'Received 04/02/2021 Toledo Police Department']",Created 12/08/2020 ProMedica Toledo & Toledo Children's Hospital,Received 12/08/2020 Toledo Police Department,Received 01/29/2021 BCI Bowling Green,Received 04/02/2021 Toledo Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,12/15/2020,Analyzed by lab,"['Created 12/15/2020 Cleveland Clinic - Akron General', 'Received 12/16/2020 Akron Police Department', 'Received 12/29/2020 BCI Richfield', 'Received 01/29/2021 Akron Police Department']",Created 12/15/2020 Cleveland Clinic - Akron General,Received 12/16/2020 Akron Police Department,Received 12/29/2020 BCI Richfield,Received 01/29/2021 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,11/23/2020,Analyzed by lab,"['Created 11/23/2020 Cleveland Clinic - Akron General', 'Received 11/25/2020 Jackson Twp. Police Department - Stark', 'Received 12/02/2020 BCI Richfield', 'Received 01/22/2021 Jackson Twp. Police Department - Stark']",Created 11/23/2020 Cleveland Clinic - Akron General,Received 11/25/2020 Jackson Twp. Police Department - Stark,Received 12/02/2020 BCI Richfield,Received 01/22/2021 Jackson Twp. Police Department - Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,12/29/2020,Ready to send to lab,"['Created 12/29/2020 Cleveland Clinic - Akron General', 'Received 12/29/2020 Cuyahoga Falls Police Department']",Created 12/29/2020 Cleveland Clinic - Akron General,Received 12/29/2020 Cuyahoga Falls Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,11/27/2020,Analyzed by lab,"['Created 11/27/2020 Cleveland Clinic - Akron General', ""Received 11/30/2020 Summit County Sheriff's Office"", 'Received 11/30/2020 BCI Richfield', ""Received 02/25/2021 Summit County Sheriff's Office""]",Created 11/27/2020 Cleveland Clinic - Akron General,Received 11/30/2020 Summit County Sheriff's Office,Received 11/30/2020 BCI Richfield,Received 02/25/2021 Summit County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,11/09/2020,Analyzed by lab,"['Created 11/09/2020 Cleveland Clinic - Akron General', 'Received 11/09/2020 Akron Police Department', 'Received 11/13/2020 BCI Richfield', 'Received 12/29/2020 Akron Police Department']",Created 11/09/2020 Cleveland Clinic - Akron General,Received 11/09/2020 Akron Police Department,Received 11/13/2020 BCI Richfield,Received 12/29/2020 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,11/16/2020,Analyzed by lab,"['Created 11/16/2020 Cleveland Clinic - Akron General', 'Received 11/17/2020 Akron Police Department', 'Received 11/20/2020 BCI Richfield', 'Received 01/29/2021 Akron Police Department']",Created 11/16/2020 Cleveland Clinic - Akron General,Received 11/17/2020 Akron Police Department,Received 11/20/2020 BCI Richfield,Received 01/29/2021 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,12/13/2020,Analyzed by lab,"['Created 12/13/2020 Cleveland Clinic - Akron General', 'Received 12/14/2020 Akron Police Department', 'Received 01/15/2021 BCI Richfield', 'Received 03/09/2021 Akron Police Department']",Created 12/13/2020 Cleveland Clinic - Akron General,Received 12/14/2020 Akron Police Department,Received 01/15/2021 BCI Richfield,Received 03/09/2021 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,04/12/2022,Analyzed by lab,"[""Created 04/12/2022 Mercy Health St. Rita's Medical Center"", 'Received 04/13/2022 Van Wert Police Department', 'Received 04/14/2022 BCI Bowling Green', 'Received 06/22/2022 Van Wert Police Department']",Created 04/12/2022 Mercy Health St. Rita's Medical Center,Received 04/13/2022 Van Wert Police Department,Received 04/14/2022 BCI Bowling Green,Received 06/22/2022 Van Wert Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,05/02/2021,Analyzed by lab,"[""Created 05/02/2021 Mercy Health St. Rita's Medical Center"", 'Received 05/02/2021 Lima Police Department', 'Received 05/07/2021 BCI Bowling Green', 'Received 07/26/2021 Lima Police Department']",Created 05/02/2021 Mercy Health St. Rita's Medical Center,Received 05/02/2021 Lima Police Department,Received 05/07/2021 BCI Bowling Green,Received 07/26/2021 Lima Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,08/05/2021,Analyzed by lab,"[""Created 08/05/2021 Mercy Health St. Rita's Medical Center"", 'Received 08/10/2021 Lima Police Department', 'Received 08/19/2021 BCI Bowling Green', 'Received 11/12/2021 Lima Police Department']",Created 08/05/2021 Mercy Health St. Rita's Medical Center,Received 08/10/2021 Lima Police Department,Received 08/19/2021 BCI Bowling Green,Received 11/12/2021 Lima Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,09/03/2021,Analyzed by lab,"[""Created 09/03/2021 Mercy Health St. Rita's Medical Center"", ""Received 09/07/2021 Allen County Sheriff's Office"", 'Received 09/10/2021 BCI Bowling Green', ""Received 11/18/2021 Allen County Sheriff's Office""]",Created 09/03/2021 Mercy Health St. Rita's Medical Center,Received 09/07/2021 Allen County Sheriff's Office,Received 09/10/2021 BCI Bowling Green,Received 11/18/2021 Allen County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,04/05/2021,Analyzed by lab,"[""Created 04/05/2021 Mercy Health St. Rita's Medical Center"", ""Received 04/05/2021 Hancock County Sheriff's Office"", 'Received 04/07/2021 BCI Bowling Green', ""Received 06/21/2021 Hancock County Sheriff's Office""]",Created 04/05/2021 Mercy Health St. Rita's Medical Center,Received 04/05/2021 Hancock County Sheriff's Office,Received 04/07/2021 BCI Bowling Green,Received 06/21/2021 Hancock County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,05/03/2021,Analyzed by lab,"[""Created 05/03/2021 Mercy Health St. Rita's Medical Center"", 'Received 05/03/2021 Lima Police Department', 'Received 05/28/2021 BCI Bowling Green', 'Received 08/06/2021 Lima Police Department']",Created 05/03/2021 Mercy Health St. Rita's Medical Center,Received 05/03/2021 Lima Police Department,Received 05/28/2021 BCI Bowling Green,Received 08/06/2021 Lima Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,05/26/2021,Analyzed by lab,"[""Created 05/26/2021 Mercy Health St. Rita's Medical Center"", 'Received 05/26/2021 Lima Police Department', 'Received 05/28/2021 BCI Bowling Green', 'Received 08/06/2021 Lima Police Department']",Created 05/26/2021 Mercy Health St. Rita's Medical Center,Received 05/26/2021 Lima Police Department,Received 05/28/2021 BCI Bowling Green,Received 08/06/2021 Lima Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,06/30/2021,Analyzed by lab,"[""Created 06/30/2021 Cincinnati Children's Hospital Medical Center"", 'Received 07/01/2021 Cincinnati Police Department', 'Received 07/06/2021 BCI London', 'Received 08/17/2021 Cincinnati Police Department']",Created 06/30/2021 Cincinnati Children's Hospital Medical Center,Received 07/01/2021 Cincinnati Police Department,Received 07/06/2021 BCI London,Received 08/17/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,05/09/2021,Analyzed by lab,"[""Created 05/09/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/15/2021 Cincinnati Police Department', 'Received 05/18/2021 BCI London', 'Received 07/20/2021 Cincinnati Police Department']",Created 05/09/2021 Cincinnati Children's Hospital Medical Center,Received 05/15/2021 Cincinnati Police Department,Received 05/18/2021 BCI London,Received 07/20/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,04/26/2021,Analyzed by lab,"[""Created 04/26/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/15/2021 Cincinnati Police Department', 'Received 05/18/2021 BCI London', 'Received 08/03/2021 Cincinnati Police Department']",Created 04/26/2021 Cincinnati Children's Hospital Medical Center,Received 05/15/2021 Cincinnati Police Department,Received 05/18/2021 BCI London,Received 08/03/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,05/06/2021,Analyzed by lab,"[""Created 05/06/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/17/2021 Hamilton Police Department', 'Received 05/19/2021 BCI London', 'Received 08/20/2021 Hamilton Police Department']",Created 05/06/2021 Cincinnati Children's Hospital Medical Center,Received 05/17/2021 Hamilton Police Department,Received 05/19/2021 BCI London,Received 08/20/2021 Hamilton Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,05/09/2021,Analyzed by lab,"[""Created 05/09/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/18/2021 Cincinnati Police Department', 'Received 05/18/2021 BCI London', 'Received 07/20/2021 Cincinnati Police Department']",Created 05/09/2021 Cincinnati Children's Hospital Medical Center,Received 05/18/2021 Cincinnati Police Department,Received 05/18/2021 BCI London,Received 07/20/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,05/09/2021,Analyzed by lab,"[""Created 05/09/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/12/2021 Cincinnati Police Department', 'Received 05/18/2021 BCI London', 'Received 08/03/2021 Cincinnati Police Department']",Created 05/09/2021 Cincinnati Children's Hospital Medical Center,Received 05/12/2021 Cincinnati Police Department,Received 05/18/2021 BCI London,Received 08/03/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,04/30/2021,Analyzed by lab,"[""Created 04/30/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/17/2021 Cincinnati Police Department', 'Received 05/18/2021 BCI London', 'Received 08/24/2021 Cincinnati Police Department']",Created 04/30/2021 Cincinnati Children's Hospital Medical Center,Received 05/17/2021 Cincinnati Police Department,Received 05/18/2021 BCI London,Received 08/24/2021 Cincinnati Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,06/01/2021,Analyzed by lab,"[""Created 06/01/2021 Cincinnati Children's Hospital Medical Center"", ""Received 10/15/2021 Hamilton County Coroner's Office"", ""Received 06/15/2021 Hamilton County Sheriff's Office"", ""Received 10/26/2021 Hamilton County Sheriff's Office""]",Created 06/01/2021 Cincinnati Children's Hospital Medical Center,Received 10/15/2021 Hamilton County Coroner's Office,Received 06/15/2021 Hamilton County Sheriff's Office,Received 10/26/2021 Hamilton County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,05/13/2021,Analyzed by lab,"[""Created 05/13/2021 Cincinnati Children's Hospital Medical Center"", 'Received 05/13/2021 Sharonville Police Department', 'Received 05/14/2021 BCI London', 'Received 07/20/2021 Sharonville Police Department']",Created 05/13/2021 Cincinnati Children's Hospital Medical Center,Received 05/13/2021 Sharonville Police Department,Received 05/14/2021 BCI London,Received 07/20/2021 Sharonville Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,03/09/2021,Analyzed by lab,"[""Created 03/09/2021 Cincinnati Children's Hospital Medical Center"", ""Received 04/09/2021 Hamilton County Sheriff's Office"", ""Received 04/20/2021 Hamilton County Coroner's Office"", ""Received 05/25/2021 Hamilton County Sheriff's Office""]",Created 03/09/2021 Cincinnati Children's Hospital Medical Center,Received 04/09/2021 Hamilton County Sheriff's Office,Received 04/20/2021 Hamilton County Coroner's Office,Received 05/25/2021 Hamilton County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,01/03/2021,Evidence collected (not received by law enforcement),"[""Created 01/03/2021 Cincinnati Children's Hospital Medical Center""]",Created 01/03/2021 Cincinnati Children's Hospital Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
